id_usuario,pais,tipo_suscripcion,antiguedad_dias,dias_activo_ult_30,minutos_escucha_prom_dia,fallos_pago_ult_60,renovacion_automatica,dias_desde_ultimo_login,es_churn
u_029431,MX,premium_familiar,581,19,37.3,0,1,8,0
u_027751,ES,premium_individual,185,19,31.6,1,1,5,0
u_047783,BR,premium_individual,1095,17,48.2,0,1,11,0
u_010499,ES,premium_individual,725,21,37.2,0,1,19,0
u_024748,MX,premium_individual,742,18,34.2,2,1,15,1
u_018648,US,premium_individual,586,19,80.7,0,1,9,0
u_009124,ES,premium_individual,503,22,58.6,0,1,9,0
u_015776,DE,premium_individual,961,19,29.3,0,1,4,0
u_035531,AR,premium_individual,290,18,100.1,0,1,4,0
u_025894,DE,premium_estudiante,974,17,24.4,1,0,6,0
u_023076,ES,premium_estudiante,370,18,84.6,0,1,5,0
u_015092,FR,premium_individual,381,13,65.0,0,1,3,0
u_028300,MX,premium_individual,193,17,57.1,0,1,13,0
u_017610,AR,premium_familiar,823,18,39.1,0,1,5,0
u_023300,BR,premium_estudiante,855,17,39.9,1,1,11,0
u_030514,ES,premium_individual,65,19,50.8,0,0,2,0
u_025928,ES,premium_individual,35,16,36.6,1,0,4,1
u_031088,ES,premium_individual,237,19,35.7,0,1,4,0
u_020002,IT,premium_individual,194,19,50.5,0,1,24,0
u_004374,MX,premium_individual,518,20,60.2,1,1,6,0
u_024616,US,premium_individual,748,21,17.8,0,1,3,0
u_027204,US,premium_individual,168,18,16.8,0,0,2,0
u_001974,CO,premium_individual,1288,16,39.1,0,1,6,0
u_027317,AR,premium_familiar,155,16,24.1,0,1,4,0
u_023032,MX,premium_individual,291,18,75.0,0,1,2,0
u_010284,US,premium_individual,646,20,40.6,0,1,4,0
u_030718,ES,premium_individual,150,12,29.7,1,1,7,0
u_014926,MX,premium_individual,301,19,35.3,0,0,3,0
u_030579,ES,premium_individual,153,0,9.2,1,1,6,1
u_003876,CO,premium_individual,151,16,41.0,0,1,3,0
u_015167,ES,premium_individual,537,19,44.6,0,1,2,0
u_002188,CL,premium_familiar,357,0,17.1,0,1,5,0
u_014709,US,premium_familiar,1141,14,41.4,2,1,3,0
u_023198,ES,premium_individual,301,18,94.4,0,0,16,0
u_026694,AR,premium_familiar,447,13,120.1,0,0,2,0
u_025757,ES,premium_estudiante,119,15,82.4,0,1,3,0
u_002775,AR,premium_individual,742,16,48.6,0,1,4,0
u_024618,ES,premium_individual,362,19,36.9,0,1,9,0
u_023245,AR,premium_estudiante,390,21,50.9,0,0,6,0
u_048609,MX,premium_familiar,30,15,90.1,0,1,3,0
u_003373,US,premium_individual,1016,20,43.9,0,1,13,0
u_046448,ES,premium_individual,67,19,45.4,0,1,3,0
u_023880,ES,premium_estudiante,373,19,35.2,0,1,2,0
u_005966,AR,premium_individual,318,17,28.1,0,1,14,0
u_015950,US,premium_individual,1033,17,33.7,0,1,3,0
u_009678,US,premium_estudiante,1522,17,18.6,0,1,3,0
u_004877,ES,premium_estudiante,422,17,67.5,0,1,5,0
u_021535,ES,premium_individual,925,17,13.5,0,1,12,0
u_024584,IT,premium_familiar,705,17,48.6,0,1,3,0
u_012327,IT,premium_individual,378,16,14.5,0,1,3,0
u_046479,ES,premium_familiar,317,18,15.4,0,1,2,0
u_005391,ES,premium_familiar,305,18,73.1,1,1,2,0
u_035730,US,premium_estudiante,329,18,18.0,0,1,8,0
u_016674,AR,premium_familiar,1205,20,28.2,1,1,19,0
u_026419,ES,premium_individual,459,19,36.6,1,1,5,0
u_003086,BR,premium_familiar,697,21,76.6,0,1,3,0
u_004134,MX,premium_estudiante,609,0,28.4,0,1,4,0
u_025592,US,premium_individual,857,16,21.0,0,1,6,0
u_026122,ES,premium_estudiante,1399,14,107.1,0,1,8,0
u_022199,ES,premium_individual,278,15,23.6,0,1,13,0
u_045718,ES,premium_individual,1155,19,28.8,0,1,6,0
u_025583,CL,premium_individual,636,17,66.1,0,1,4,0
u_008346,CL,premium_familiar,180,15,18.6,0,0,6,0
u_032464,AR,premium_individual,320,17,52.3,0,1,8,0
u_021769,ES,premium_individual,113,18,37.5,0,1,4,0
u_031219,ES,premium_individual,525,16,31.2,1,1,3,0
u_046389,DE,premium_individual,1613,17,59.3,1,1,3,0
u_012682,CL,premium_individual,1850,14,29.4,0,1,2,0
u_048612,FR,premium_individual,77,14,10.4,0,1,5,0
u_026366,DE,premium_individual,349,3,20.5,0,1,6,0
u_013861,US,premium_estudiante,714,21,24.1,0,0,8,0
u_020892,IT,premium_individual,294,19,50.2,0,1,2,0
u_026497,ES,premium_individual,603,17,30.4,0,1,2,0
u_029647,AR,premium_individual,458,17,32.6,0,1,7,0
u_033877,IT,premium_familiar,488,15,15.1,0,1,6,0
u_001995,US,premium_familiar,361,16,33.6,0,1,2,0
u_006136,DE,premium_individual,683,20,57.7,0,1,5,0
u_029125,ES,premium_individual,299,3,12.6,0,1,7,0
u_002547,FR,premium_individual,623,14,52.1,0,1,3,0
u_013117,ES,premium_individual,530,18,42.0,3,1,2,1
u_020269,BR,premium_individual,410,19,21.0,0,1,7,0
u_029950,ES,premium_familiar,895,20,19.6,0,1,4,0
u_013544,CL,premium_individual,598,13,49.9,0,1,6,0
u_009976,CO,premium_estudiante,485,15,23.3,0,1,2,0
u_046288,ES,premium_individual,511,18,69.4,0,1,7,0
u_000165,CO,premium_individual,289,1,14.5,0,1,8,1
u_002618,AR,premium_estudiante,956,17,69.1,0,0,2,0
u_016236,IT,premium_individual,725,17,35.0,0,1,9,0
u_009541,FR,premium_individual,843,25,13.7,0,1,4,0
u_022255,FR,premium_individual,800,16,17.8,0,1,10,0
u_026050,DE,premium_individual,489,14,24.2,1,1,14,0
u_039022,AR,premium_individual,134,16,46.7,2,1,2,0
u_021612,ES,premium_estudiante,275,17,29.3,0,1,6,0
u_015927,ES,premium_individual,409,15,27.8,3,1,2,1
u_029019,IT,premium_individual,852,21,27.8,1,1,5,0
